minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Temperature,Humidity
1,excellent,2.31412,18.31,70.27,23.91,24.89,39.83,22.49,22.1,50.6,15.56,30.3,63.8
2,excellent,2.31412,18.31,70.27,23.14,23.62,39.29,21.37,26.53,50.6,15.31,30.2,65.4
3,excellent,2.31412,18.08,70.27,22.41,24.18,41.83,22.6,20.49,46.83,15.95,30.2,66.6
4,excellent,2.31412,18.16,69.03,21.51,24.07,39.83,21.57,20.7,52.09,15.95,30.1,67.4
5,excellent,2.31412,18,70.91,20.75,22.44,42.44,21.57,25.1,51.34,16.02,30,68
6,excellent,2.31412,17.93,71.55,19.59,21.63,40.67,21.18,22.92,50.23,15.75,30,68.7
7,excellent,2.31412,18,70.27,18.68,23.4,40.11,21.08,22.92,50.6,15.82,30,69.2
8,excellent,2.31412,18,70.91,17.52,20.58,37.23,21.18,24.04,50.96,15.95,30,69.9
9,excellent,2.31412,18.08,68.42,16.45,20.4,38.24,21.77,20.7,50.6,15.75,30,70.5
10,excellent,2.31412,18.08,69.64,15.53,20.13,37.23,20.52,25.95,52.48,15.82,30,70.9
11,excellent,2.31412,17.93,69.64,14.55,20.22,39.02,20.8,19.8,52.48,15.12,30,71.4
12,excellent,2.31412,17.93,69.64,13.58,20.4,39.02,20.8,21.66,49.87,15.62,30,71.8
13,excellent,2.31412,17.85,70.27,13.21,20.67,35.81,20.52,20.8,49.17,15.69,30,72.3
14,excellent,2.31412,17.63,68.42,12.11,20.4,41.54,19.62,18.87,49.87,15.56,30,72.7
15,excellent,2.31412,17.55,70.27,11.41,19.34,38.76,20.15,23.41,46.19,15.75,30,73
16,excellent,2.31412,17.55,69.64,10.89,19.43,35.81,20.15,19.14,49.17,15.62,30.1,73.3
17,excellent,2.31412,17.4,67.82,10.31,19.01,39.83,20.15,19.23,46.19,15.56,30.1,73.6
18,excellent,2.31412,16.9,67.82,9.91,18.36,39.02,19.71,19.33,49.52,15.31,30.1,74
19,excellent,2.31412,17.04,69.64,9.42,19.18,38.24,19.79,19.14,48.82,15.43,30.2,74.3
20,excellent,2.31412,17.4,70.27,9.13,18.28,38.76,19.71,19.14,46.83,15.5,30.2,74.5
21,excellent,2.31412,17.04,66.65,8.74,18.84,41.54,19.36,18.78,48.48,14.94,30.2,74.7
22,excellent,2.31412,17.19,67.82,8.51,18.13,38.76,19.44,21.22,53.27,15.43,30.3,75
23,excellent,2.31412,17.11,66.08,8.18,18.52,36.27,20.24,24.17,49.52,15.37,30.3,75.2
24,excellent,2.31412,16.97,67.82,7.77,19.43,37.23,19.44,19.23,49.52,15.31,30.3,75.3
25,excellent,2.31412,17.11,67.82,7.74,17.22,37.73,19.36,22.56,46.19,15.18,30.4,75.6
26,excellent,2.31412,17.19,67.82,7.55,17.3,39.83,19.44,20.8,49.52,15.06,30.4,75.8
27,excellent,2.31412,16.83,67.82,7.35,17.52,37.73,19.1,24.17,48.48,15.5,30.4,76
28,excellent,2.31412,16.97,67.82,7.17,17.22,45.34,19.02,23.66,48.82,14.94,30.4,76.2
29,excellent,2.31412,16.83,67.82,6.94,17.59,38.24,18.85,19.33,49.52,15.25,30.5,76.3
30,excellent,2.31412,16.62,67.82,6.86,17.3,36.51,18.85,24.56,49.52,15.25,30.5,76.5
31,excellent,2.31412,16.42,70.27,6.75,17.22,37.48,19.02,23.78,48.82,15.37,30.5,76.6
32,excellent,2.31412,16.35,68.42,6.56,17.44,37.23,18.37,18.34,49.87,15.43,30.5,76.7
33,excellent,2.31412,16.69,70.27,6.48,17.37,39.83,18.45,17.5,49.17,15.5,30.6,76.9
34,excellent,2.31412,16.76,70.27,6.35,17.01,37.73,18.69,19.05,48.48,15.5,30.6,77
35,excellent,2.31412,16.62,69.03,6.27,16.93,37.98,18.61,18.43,48.82,15.37,30.7,77.2
36,excellent,2.31412,16.55,66.65,6.22,17.01,37.73,18.37,22.92,49.17,15.18,30.7,77.2
37,excellent,2.31412,16.55,69.64,6.09,16.93,37.98,18.94,20.7,47.81,15.37,30.7,77.4
38,excellent,2.31412,16.35,68.42,6.09,17.15,36.51,18.69,22.45,52.48,14.76,30.8,77.7
39,excellent,2.31412,16.28,69.03,6.02,17.08,36.51,22.39,25.66,49.17,15.25,30.8,77.9
40,excellent,2.31412,16.15,69.64,5.87,16.93,37.48,22.92,24.83,48.14,15.31,30.8,78
41,excellent,2.31412,16.35,70.91,5.89,16.65,37.48,23.25,22.8,49.87,15.31,30.8,78
42,excellent,2.31412,16.21,70.27,5.77,16.51,37.23,23.14,24.69,48.82,14.7,30.9,78.1
43,excellent,2.31412,16.15,67.82,5.75,16.58,34.47,23.25,25.95,48.48,15.12,30.9,78.1
44,excellent,2.31412,16.15,69.64,5.7,16.58,37.48,23.36,24.43,48.48,15.06,30.9,78.1
45,excellent,2.31412,15.95,69.03,5.72,16.72,37.73,22.92,24.56,49.17,15.12,30.9,78.2
46,excellent,2.31412,15.82,69.64,5.63,16.79,37.23,22.7,22.68,48.82,14.88,31,78.3
47,excellent,2.31412,15.95,72.21,5.63,16.86,38.76,22.81,22.33,49.17,15.06,31,78.3
48,excellent,2.31412,16.01,69.03,5.55,16.79,38.24,22.7,20.19,49.52,15.12,31.1,78.5
49,excellent,2.31412,15.95,67.82,5.53,16.51,37.48,22.7,20.91,48.48,15,31.1,78.6
50,excellent,2.31412,15.75,70.27,5.58,16.58,37.98,22.28,22.22,50.23,14.46,31.1,78.7
51,excellent,2.31412,15.88,70.91,5.53,16.31,37.48,22.28,22.22,48.48,15.5,31.1,78.8
52,excellent,2.31412,15.88,69.03,5.53,16.44,38.24,22.28,22.1,48.82,14.46,31.1,78.8
53,excellent,2.31412,15.82,70.91,5.55,16.24,34.68,21.87,26.09,48.14,15.06,31.2,79
54,excellent,2.31412,15.62,70.91,5.6,16.31,37.48,21.97,20.49,48.82,15.06,31.2,79
55,excellent,2.31412,15.62,70.27,5.53,16.31,39.29,22.18,26.69,50.23,15,31.2,79.1
56,excellent,2.31412,15.69,70.91,5.55,16.24,37.48,21.87,26.39,49.52,15.18,31.2,79.2
57,excellent,2.31412,15.69,69.03,5.55,16.38,36.75,22.92,26.24,49.17,14.88,31.2,79.3
58,excellent,2.31412,15.69,70.27,5.6,16.31,36.99,22.18,23.53,50.23,14.76,31.3,79.4
59,excellent,2.31412,15.56,70.91,5.28,15.97,37.23,21.67,21.99,48.48,14.52,31.3,79.6
60,excellent,2.31412,15.12,70.27,5.25,16.11,36.99,20.99,19.71,49.17,14.4,31.3,79.7
61,excellent,2.45654,15.18,70.27,5.21,16.11,36.27,21.08,20.19,49.87,14.23,31.3,79.8
62,excellent,2.45654,15.06,69.64,5.23,15.91,36.75,20.52,23.28,49.52,14.76,31.4,79.9
63,excellent,2.45654,15,70.27,5.18,15.91,36.51,21.28,25.95,48.82,14.7,31.4,79.9
64,excellent,2.45654,14.64,69.03,5.21,15.97,44.34,21.08,29.11,49.17,14.06,31.4,79.9
65,excellent,2.45654,14.81,69.64,5.16,15.84,36.51,20.24,19.71,49.52,14.46,31.5,80
66,excellent,2.45654,15,70.27,5.14,16.11,36.75,20.06,21.88,47.81,14.64,31.4,80
67,excellent,2.45654,14.94,67.82,5.12,15.71,36.27,19.88,24.3,48.82,14.52,31.5,80.1
68,excellent,2.45654,14.87,69.64,5.12,15.84,36.51,19.79,22.22,44.96,14.64,31.5,80.3
69,excellent,2.45654,14.87,70.91,5.12,16.72,36.27,19.79,23.53,49.17,14.58,31.5,80.5
70,excellent,2.45654,14.75,72.21,5.07,15.52,36.75,19.71,22.8,48.82,14.52,31.5,80.5
71,excellent,2.45654,14.87,70.91,5.1,16.51,36.99,19.79,21.12,46.51,14.64,31.5,80
72,excellent,2.45654,14.87,71.55,5.05,16.31,35.81,19.62,21.99,48.48,14.64,31.5,80.2
73,excellent,2.45654,14.81,69.03,5.21,16.17,37.48,19.71,23.04,49.52,14.4,31.5,79.7
74,excellent,2.45654,14.69,71.55,5.1,16.44,36.27,19.71,19.14,48.82,14.11,31.6,79.9
75,excellent,2.45654,14.64,69.64,5.12,15.45,36.75,19.71,19.05,48.48,14.17,31.6,80.1
76,excellent,2.45654,14.64,70.91,5.03,16.44,35.58,19.1,21.77,48.48,14.58,31.6,80.3
77,excellent,2.45654,14.75,69.03,5.05,15.26,36.04,19.1,24.17,45.57,14.52,31.6,80.5
78,excellent,2.45654,14.64,70.27,5.1,15.45,36.75,18.69,18.6,50.96,14.34,31.7,80.5
79,excellent,2.45654,14.69,70.91,5.05,15.58,36.99,18.85,21.12,48.82,14.46,31.7,80.6
80,excellent,2.45654,14.46,70.27,5.03,16.58,36.99,18.37,19.14,49.17,13.83,31.7,80.8
81,excellent,2.45654,14.58,69.03,5.01,16.65,36.99,18.21,17.67,48.14,14.23,31.7,80.8
82,excellent,2.45654,14.64,69.03,5.01,15.33,37.73,18.85,18.78,49.52,14.06,31.7,80.9
83,excellent,2.45654,14.52,70.27,4.99,15.97,36.51,18.29,22.1,49.87,13.94,31.8,81.1
84,excellent,2.45654,14.46,72.21,4.99,16.11,36.51,18.13,21.99,48.82,14.29,31.8,81.1
85,excellent,2.45654,14.46,69.64,4.94,15.84,37.48,17.74,18.69,49.17,14.23,31.8,81.2
86,excellent,2.45654,14.28,72.21,4.92,15.71,35.81,17.82,18.43,49.17,14.11,31.8,81.3
87,excellent,2.45654,14.23,69.64,4.99,15.65,37.48,18.05,18.34,49.52,13.72,31.8,81.2
88,excellent,2.45654,14.23,70.27,4.99,15.02,35.35,17.51,22.92,49.17,14.29,31.8,81.4
89,excellent,2.45654,14.4,70.27,4.96,15.2,36.51,17.74,24.17,49.52,14.11,31.9,81.6
90,excellent,2.45654,14.23,69.64,4.96,16.11,36.51,17.36,20.09,49.87,14,31.9,81.7
91,excellent,2.45654,13.89,69.64,4.85,16.51,35.81,17.29,18.17,53.67,13.78,31.9,81.7
92,excellent,2.45654,14,70.27,4.92,15.26,36.04,17.36,21.66,49.87,14.23,31.9,81.8
93,excellent,2.45654,14.28,72.21,4.9,15.33,36.27,17.22,18.43,48.82,14.29,31.9,81.8
94,excellent,2.45654,14.11,71.55,4.9,16.44,35.58,17.22,20.09,48.82,14.34,31.9,81.9
95,excellent,2.45654,14.11,72.21,5.21,14.95,35.13,16.93,21.44,50.23,14.23,31.9,82
96,excellent,2.45654,14.11,70.27,4.9,16.44,36.99,16.5,17.03,49.87,13.89,32,82.2
97,excellent,2.45654,14.11,69.03,4.85,16.24,35.35,16.78,17.67,50.23,14.11,32,82.2
98,excellent,2.45654,14.4,69.03,4.99,17.15,36.04,16.78,18.43,49.52,14.11,32,82.2
99,excellent,2.45654,13.78,70.91,4.83,16.93,35.81,16.64,22.8,48.48,14.29,32,82.2
100,excellent,2.45654,13.89,69.64,4.85,13.84,35.35,16.36,20.49,49.52,13.83,32.1,82.4
101,excellent,2.45654,14.11,69.03,4.88,14.42,35.81,16.3,17.5,48.82,14.11,32.1,82.5
102,excellent,2.45654,13.78,70.27,4.83,14.36,35.35,16.36,20.6,53.67,13.89,32,82.4
103,excellent,2.45654,13.61,69.64,4.79,14.77,36.04,16.16,17.26,49.17,13.94,32.1,82.7
104,excellent,2.45654,13.61,69.03,4.81,14.53,35.13,15.96,17.75,48.48,14.34,32.1,82.7
105,excellent,2.45654,13.72,70.91,4.73,14.65,35.58,15.76,20.39,48.48,14.17,32.1,82.7
106,excellent,2.45654,13.72,69.64,4.77,14.89,34.9,15.63,20.91,48.48,14.29,32.1,82.8
107,excellent,2.45654,13.61,70.91,4.77,14.89,34.9,15.25,22.22,47.81,14.17,32.1,82.8
108,excellent,2.45654,13.4,67.82,4.75,14.77,34.04,15.37,21.01,49.17,13.72,32.2,82.9
109,excellent,2.45654,13.29,69.03,4.77,14.42,35.81,15.25,20.49,48.14,13.89,32.2,82.9
110,excellent,2.45654,13.29,69.03,4.68,14.47,36.27,15.12,16.49,48.14,13.89,32.2,82.9
111,excellent,2.45654,13.5,70.91,4.73,14.89,33.62,15.12,17.26,49.17,14.11,32.2,83
112,excellent,2.45654,13.29,69.03,4.66,14.95,34.47,15.06,17.26,48.48,13.83,32.2,83
113,excellent,2.45654,13.24,69.64,4.75,14.53,34.68,14.69,20.49,49.17,14,32.2,83.1
114,excellent,2.45654,12.98,67.82,4.66,14.65,34.47,15,19.23,48.82,13.83,32.2,83.1
115,excellent,2.45654,13.08,67.82,4.64,14.47,35.13,14.81,20,46.19,13.78,32.2,83.2
116,excellent,2.45654,13.13,70.27,4.64,15.97,35.35,14.75,21.12,44.66,14.06,32.3,83.3
117,excellent,2.45654,13.13,67.82,4.64,15.33,35.13,14.75,19.42,49.52,14.06,32.3,83.1
118,excellent,2.45654,12.92,70.27,4.62,15.78,34.68,14.75,18.17,48.48,13.89,32.3,83.2
119,excellent,2.45654,12.92,69.03,4.6,14.95,34.47,14.75,16.64,50.96,13.83,32.3,83.3
120,excellent,2.45654,12.98,69.03,4.58,15.33,38.24,14.75,16.49,47.81,14.06,32.3,83.3
121,excellent,2.591533333,13.03,67.82,4.56,14.77,34.04,14.57,18.51,48.82,14,32.3,83.4
122,excellent,2.591533333,12.82,69.03,4.6,14.89,34.47,14.51,18.96,48.48,13.89,32.4,83.5
123,excellent,2.591533333,12.98,69.03,4.56,14.95,34.47,14.33,18.87,49.52,13.5,32.4,83.6
124,excellent,2.591533333,12.82,70.27,4.56,14.83,34.25,14.28,16.42,46.51,13.94,32.3,83.4
125,excellent,2.591533333,12.87,70.27,4.54,14.59,34.47,14.1,19.8,51.71,13.5,32.4,83.8
126,excellent,2.591533333,12.87,70.27,4.52,15.39,35.13,13.99,15.49,47.81,13.67,32.4,83.7
127,excellent,2.591533333,12.82,69.64,4.56,15.26,34.47,14.28,19.05,47.48,13.89,32.4,83.6
128,excellent,2.591533333,12.77,70.91,4.54,14.77,32.21,14.16,20.8,45.26,13.78,32.4,83.7
129,excellent,2.591533333,12.82,69.03,4.54,14.13,31.82,13.99,20.09,49.17,13.89,32.5,83.6
130,excellent,2.591533333,12.87,70.91,4.5,15.08,35.13,13.82,16.42,48.82,13.89,32.5,83.7
131,excellent,2.591533333,13.34,70.27,4.54,14.89,35.13,13.76,17.83,47.48,13.94,32.5,83.6
132,excellent,2.591533333,13.29,69.64,4.5,14.89,32.6,13.88,19.42,47.81,13.61,32.5,83.6
