minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Temperature,Humidity
1,excellent,2.36474,22.75,15.58,30.66,18.93,44.01,36.16,31.32,47.81,13.29,29.6,93.3
2,excellent,2.36474,22.44,15.84,27.95,18.68,42.74,35.74,26.09,47.81,13.29,29.5,94.2
3,excellent,2.36474,22.03,15.26,23.47,18.2,43.37,37.26,30.18,47.81,13.4,29.4,94.9
4,excellent,2.36474,21.64,15.51,21.32,18.05,42.13,36.16,29.64,47.15,13.4,29.3,95.6
5,excellent,2.36474,21.16,15.32,19.09,17.82,41.54,35.74,26.09,47.15,14.7,29.3,96.2
6,excellent,2.36474,20.42,15.32,18.05,17.44,42.44,35.74,25.66,47.15,13.29,29.3,96.8
7,excellent,2.36474,20.15,15.2,17.3,17.44,41.83,34.12,31.71,47.48,13.13,29.2,97.4
8,excellent,2.36474,19.71,15.14,16.32,17.3,41.54,36.38,31.12,47.15,13.24,29.2,97.9
9,excellent,2.36474,18.95,15.2,15.53,17.08,41.83,34.71,25.38,46.83,13.29,29.2,98.3
10,excellent,2.36474,18.79,15.07,13.86,16.93,41.25,34.91,28.1,46.83,13.29,29.2,98.8
11,excellent,2.36474,18.08,15.14,12.59,16.65,41.25,34.31,30.74,51.71,14.52,29.2,99.2
12,excellent,2.36474,17.78,14.95,11.46,16.72,40.96,35.95,31.71,52.48,13.67,29.2,99.5
13,excellent,2.36474,17.48,14.95,9.99,16.44,41.25,34.31,31.71,45.57,14.52,29.2,99.9
14,excellent,2.36474,16.76,14.95,8.99,16.44,40.39,33.73,32.94,46.83,13.08,29.3,99.9
15,excellent,2.36474,16.62,14.95,8.18,16.17,41.25,34.31,27.3,45.88,12.98,29.3,99.9
16,excellent,2.36474,16.08,14.89,7.55,16.17,41.54,33.73,30.55,43.78,13.08,29.3,99.9
17,excellent,2.36474,16.01,14.83,7,16.11,40.67,33.92,24.69,45.26,13.03,29.3,99.9
18,excellent,2.36474,15.43,14.89,6.72,15.91,40.67,32.24,23.78,45.26,13.13,29.3,99.9
19,excellent,2.36474,15.31,14.65,6.04,15.65,40.11,33.92,30.55,45.26,13.13,29.3,99.9
20,excellent,2.36474,15.06,14.42,5.84,15.84,40.67,34.12,25.24,50.23,14.11,29.4,99.9
21,excellent,2.36474,15,14.77,5.58,15.84,40.39,33.35,28.1,44.66,12.92,29.4,99.9
22,excellent,2.36474,14.75,14.71,5.39,15.71,40.67,33.35,25.38,43.78,12.92,29.4,99.9
23,excellent,2.36474,14.64,14.59,5.21,15.65,40.67,34.12,33.15,42.66,14.23,29.5,99.9
24,excellent,2.36474,14.46,14.59,5.03,15.71,37.23,34.31,25.52,43.22,12.82,29.5,99.9
25,excellent,2.36474,14.46,14.59,4.92,15.58,39.29,33.54,27.3,46.19,14.06,29.5,99.9
26,excellent,2.36474,14.4,14.36,4.73,15.52,39.29,33.73,25.52,44.96,12.92,29.5,99.9
27,excellent,2.36474,14.23,14.3,4.73,15.33,40.11,32.97,30.18,45.26,12.98,29.6,99.9
28,excellent,2.36474,14.34,12.89,4.62,15.33,39.29,32.97,32.31,45.26,12.87,29.6,99.9
29,excellent,2.36474,14.28,14.07,4.48,15.33,39.29,35.12,25.1,45.88,12.82,29.6,99.9
30,excellent,2.36474,14.17,14.01,4.38,15.2,39.02,35.12,25.8,43.22,12.82,29.6,99.9
31,excellent,2.36474,14,13.3,4.31,15.08,39.29,35.32,31.51,45.26,12.82,29.7,99.9
32,excellent,2.36474,14.06,12.38,4.35,15.2,40.96,34.71,26.53,45.88,13.24,29.7,99.9
33,excellent,2.36474,14.06,13.2,4.22,15.14,39.83,35.12,33.58,45.57,12.82,29.7,99.9
34,excellent,2.36474,14.11,13.09,4.24,14.95,39.02,33.92,25.52,45.88,13.83,29.8,99.9
35,excellent,2.36474,14.11,13.57,4.1,14.95,46.38,33.92,25.52,44.37,12.72,29.8,99.9
36,excellent,2.36474,13.94,13.63,4.1,15.02,39.56,32.97,24.83,45.26,13.67,29.8,99.9
37,excellent,2.36474,13.94,13.63,4.04,15.02,39.02,32.07,33.8,43.78,12.72,29.8,99.9
38,excellent,2.36474,14.06,13.2,4,15.02,39.83,33.54,34.25,44.66,12.77,29.9,99.9
39,excellent,2.36474,13.89,13.36,4.02,14.83,38.76,33.73,24.17,43.78,12.77,29.9,99.9
40,excellent,2.36474,13.78,13.2,3.98,14.77,39.02,33.73,31.91,44.37,12.72,29.9,99.9
41,excellent,2.36474,13.94,13.25,3.96,14.83,39.29,33.54,24.96,43.78,12.77,29.9,99.9
42,excellent,2.36474,13.78,13.41,3.94,14.77,41.83,33.35,30.74,44.07,12.77,29.9,99.9
43,excellent,2.36474,13.72,13.3,3.91,14.71,39.02,33.16,32.52,42.38,12.67,30,99.9
44,excellent,2.36474,13.78,12.99,3.89,14.65,39.02,32.42,25.52,45.57,12.77,30,99.9
45,excellent,2.36474,13.67,12.83,3.87,14.65,40.67,33.92,25.38,41.32,12.77,30,99.9
46,excellent,2.36474,13.61,13.2,3.85,14.77,37.48,32.79,24.56,46.51,12.62,30.1,99.9
47,excellent,2.36474,13.72,13.09,3.83,14.53,38.5,33.16,29.11,44.07,12.67,30.1,99.9
48,excellent,2.36474,13.67,12.94,3.81,14.59,39.02,33.16,28.43,42.94,12.67,30.1,99.9
49,excellent,2.36474,13.56,12.78,3.79,14.65,38.5,32.61,32.94,45.57,12.57,30.2,99.9
50,excellent,2.36474,13.61,12.63,3.79,14.47,39.02,32.42,24.69,43.5,12.72,30.1,99.9
51,excellent,2.36474,13.61,12.68,3.78,14.47,38.24,32.79,25.95,43.78,12.62,30.1,99.9
52,excellent,2.36474,13.56,12.63,3.74,14.47,36.75,32.61,25.95,44.37,12.62,30.2,99.9
53,excellent,2.36474,13.5,12.53,3.76,14.42,34.25,32.61,25.24,43.22,12.72,30.2,99.9
54,excellent,2.36474,13.56,12.58,3.76,14.36,36.99,32.42,24.96,43.22,12.67,30.2,99.9
55,excellent,2.36474,13.61,12.43,3.72,14.36,37.23,32.07,23.41,45.26,12.57,30.2,99.9
56,excellent,2.36474,13.5,12.34,3.67,14.47,37.98,33.73,37.13,42.38,12.62,30.3,99.9
57,excellent,2.36474,13.4,12.34,3.74,14.42,37.48,32.07,25.8,42.94,13.83,30.3,99.9
58,excellent,2.36474,13.56,12.29,3.72,14.24,37.48,32.24,24.69,43.78,13.72,30.3,99.9
59,excellent,2.36474,13.34,12.38,3.7,14.3,37.98,32.61,28.6,43.22,12.42,30.3,99.9
60,excellent,2.36474,13.5,12.38,3.67,14.36,36.75,33.73,31.51,45.57,12.42,30.4,99.9
61,excellent,2.49728,13.45,12.34,3.67,14.18,34.68,32.42,31.91,42.94,13.5,30.4,99.9
62,excellent,2.49728,13.34,12,3.65,14.3,37.48,32.42,25.66,42.11,12.42,30.4,99.9
63,excellent,2.49728,13.24,11.9,3.67,14.3,40.11,31.89,30.55,42.38,12.47,30.4,99.9
64,excellent,2.49728,13.34,11.72,3.65,14.18,43.05,31.89,23.66,40.8,12.47,30.4,99.9
65,excellent,2.49728,13.18,11.72,3.65,14.3,38.24,31.2,32.52,42.38,12.52,30.4,99.9
66,excellent,2.49728,13.13,11.77,3.61,14.18,36.75,32.07,31.32,42.66,12.32,30.5,99.9
67,excellent,2.49728,13.13,11.9,3.59,14.18,36.99,32.24,30.37,42.94,12.27,30.5,99.9
68,excellent,2.49728,13.34,11.81,3.59,14.18,36.75,31.37,23.66,42.94,12.23,30.5,99.9
69,excellent,2.49728,13.29,11.63,3.59,14.01,44.34,31.37,26.69,44.37,12.18,30.5,99.9
70,excellent,2.49728,13.08,11.58,3.63,14.13,36.75,31.71,26.24,41.84,12.42,30.6,99.9
71,excellent,2.49728,13.13,11.49,3.59,14.13,42.74,29.88,30.74,42.66,13.24,30.6,99.9
72,excellent,2.49728,13.08,11.72,3.57,13.96,36.99,31.03,24.56,41.84,12.42,30.6,99.9
73,excellent,2.49728,13.18,11.49,3.57,13.96,36.99,32.07,24.3,40.8,12.37,30.6,99.9
74,excellent,2.49728,12.98,11.63,3.61,14.07,36.51,30.86,24.69,41.32,12.37,30.6,99.9
75,excellent,2.49728,12.98,11.72,3.61,13.9,36.27,30.53,24.04,42.94,12.42,30.6,99.9
76,excellent,2.49728,13.03,11.49,3.57,13.84,35.81,31.03,27.94,40.8,12.37,30.7,99.9
77,excellent,2.49728,12.87,11.27,3.59,14.01,41.83,30.2,22.8,40.8,12.23,30.7,99.9
78,excellent,2.49728,12.98,11.27,3.57,13.9,33.62,31.37,24.69,40.54,12.37,30.7,99.9
79,excellent,2.49728,13.03,11.14,3.54,13.96,35.58,30.04,23.28,41.05,12.27,30.7,99.9
80,excellent,2.49728,12.98,11.05,3.54,13.96,35.35,28.79,24.17,38.36,12.27,30.7,99.9
81,excellent,2.49728,12.87,11.22,3.56,13.79,36.51,30.36,26.09,40.8,12.37,30.8,99.9
82,excellent,2.49728,12.82,10.71,3.54,13.9,36.99,30.04,24.43,41.05,12.23,30.8,99.9
83,excellent,2.49728,12.87,10.58,3.59,13.9,43.69,30.53,23.41,41.05,12.27,30.8,99.9
84,excellent,2.49728,12.77,10.46,3.57,13.96,36.75,30.53,24.83,40.8,12.32,30.8,99.9
