minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Temperature,Humidity
1,excellent,2.34494,18.39,20.1,32,20.31,28.82,39.63,29.64,41.58,11.08,29.1,63.3
2,excellent,2.34494,18.31,20.01,31.83,20.04,30.89,43.36,45.71,40.54,11.85,29.1,63.9
3,excellent,2.34494,18.08,20.1,31.32,19.86,29.66,38.65,43.27,39.55,11.75,29.2,64.5
4,excellent,2.34494,17.85,19.75,29.41,19.51,29.83,39.13,31.12,43.78,11.43,29.2,65
5,excellent,2.34494,17.48,19.66,30.66,19.18,30.35,39.63,30.74,44.37,10.82,29.2,64.9
6,excellent,2.34494,17.85,19.49,31.83,19.18,30.18,41.43,32.31,40.54,11.62,29.3,65.2
7,excellent,2.34494,17.55,19.49,31.49,19.18,30.89,41.69,33.58,38.59,11.43,29.3,65.8
8,excellent,2.34494,17.26,19.07,32.35,18.76,30.53,38.89,44.64,39.79,11.39,29.3,66.1
9,excellent,2.34494,17.19,19.15,31.16,18.68,29.49,41.43,30.93,40.04,11.34,29.4,66.8
10,excellent,2.34494,16.76,18.74,30.5,18.13,33,40.13,45.71,40.54,11.3,29.4,67
11,excellent,2.34494,16.69,18.58,30.99,18.28,30.35,38.89,35.16,39.79,11.48,29.5,67.4
12,excellent,2.34494,16.62,18.66,30.66,18.2,31.45,42.8,31.71,41.32,11.48,29.5,67.1
13,excellent,2.34494,16.35,18.26,30.03,17.89,29.66,39.63,41.98,40.29,11.17,29.5,67.4
14,excellent,2.34494,16.35,18.42,31.49,17.97,30.53,41.96,37.92,40.29,11.34,29.5,67.4
15,excellent,2.34494,15.95,17.73,29.87,17.52,28.82,39.63,30.93,41.58,10.82,29.6,67.3
16,excellent,2.34494,15.69,17.65,30.18,17.52,29.66,38.89,30.93,39.06,10.91,29.6,67.7
17,excellent,2.34494,15.75,17.73,30.03,17.52,30,38.41,43.95,42.66,10.7,29.7,68
18,excellent,2.34494,15.62,17.73,30.83,17.44,30.18,40.38,40.45,40.8,10.57,29.7,68
19,excellent,2.34494,15.49,16.92,30.03,17.37,30.35,39.87,31.91,37.67,10.7,29.7,68.1
20,excellent,2.34494,15,16.92,30.03,16.93,29.15,39.13,39.29,38.83,10.09,29.7,68.6
21,excellent,2.34494,15.24,17.28,30.18,17.52,29.83,40.64,49.63,41.32,10.33,29.8,69.1
22,excellent,2.34494,14.87,16.57,29.87,16.86,28.82,39.13,46.83,39.06,10.01,29.8,68.5
23,excellent,2.34494,14.75,16.37,29.11,17.08,27.87,37.95,30.93,39.55,9.55,29.8,68.5
24,excellent,2.34494,14.64,15.77,29.26,16.72,28.82,39.63,34.7,38.36,9.85,29.8,68.7
25,excellent,2.34494,14.69,15.9,30.5,17.08,29.66,41.16,28.6,40.8,9.97,29.9,69
26,excellent,2.34494,14.94,15.9,30.66,17.37,30.18,42.24,34.02,41.05,10.17,29.9,68.7
27,excellent,2.34494,14.34,14.77,29.72,16.79,29.66,40.38,39.86,40.29,9.7,29.9,68.6
28,excellent,2.34494,14.17,15.71,29.87,16.72,29.83,39.87,28.77,35.51,9.22,29.9,68.4
29,excellent,2.34494,13.89,14.83,28.96,16.58,28.18,39.13,37.92,37.9,9.51,30,68.9
30,excellent,2.34494,14.17,14.95,29.72,16.79,26.96,39.63,47.6,47.15,9.74,30,69.2
31,excellent,2.34494,13.94,14.65,29.11,16.79,30.53,40.9,44.29,41.32,9.59,30,69.5
32,excellent,2.34494,13.94,14.24,29.72,16.72,29.49,41.16,38.73,41.32,9.18,30,69.6
33,excellent,2.34494,13.72,13.74,29.72,16.51,28.82,40.13,36.37,39.55,9.33,30.1,69.9
34,excellent,2.34494,13.5,13.36,28.81,16.51,31.82,43.08,31.32,38.36,9.7,30.1,69
35,excellent,2.34494,13.5,12.83,29.41,16.24,29.66,37.26,52.74,37.44,9.29,30.1,69.5
36,excellent,2.34494,13.72,12.73,30.18,16.58,30.35,39.13,29.46,40.29,9.33,30.1,69.8
37,excellent,2.34494,13.5,12.43,29.87,16.38,29.66,40.38,31.71,37.44,9.15,30.1,70
38,excellent,2.34494,13.29,12.09,29.26,16.38,29.83,39.63,32.94,40.8,9.15,30.2,70.4
39,excellent,2.34494,13.5,12,31.32,16.72,30.53,41.43,32.73,41.58,9.59,30.2,70.6
40,excellent,2.34494,13.18,11.63,28.81,16.38,29.15,39.63,32.31,38.83,9.22,30.2,70.6
41,excellent,2.34494,13.13,11.36,29.41,16.31,29.15,41.16,40.15,39.79,9.22,30.2,70.4
42,excellent,2.34494,13.29,11.27,30.03,16.65,30.18,41.69,37.13,41.32,9.15,30.2,69.2
43,excellent,2.34494,13.08,11.05,30.18,16.51,30.71,40.9,34.25,42.66,9.08,30.2,69.8
44,excellent,2.34494,13.18,11.01,29.87,16.65,30.53,42.8,41.98,41.05,9.15,30.3,70.3
45,excellent,2.34494,12.72,10.67,28.96,16.31,29.15,41.16,34.93,40.04,9.15,30.3,70
46,excellent,2.34494,12.98,10.54,30.34,16.38,34.25,40.9,50.92,41.84,9.11,30.3,70.2
47,excellent,2.34494,12.62,10.26,28.37,16.17,29.32,39.63,44.64,41.58,8.9,30.3,70.6
48,excellent,2.34494,12.82,10.22,28.81,16.38,29.49,40.64,31.51,40.54,9.15,30.3,70.7
49,excellent,2.34494,12.67,9.98,29.41,16.31,30.53,40.9,40.15,40.8,8.93,30.3,70.2
50,excellent,2.34494,12.57,9.86,28.81,16.04,30.35,40.38,40.45,48.14,9.04,30.4,70.8
51,excellent,2.34494,12.62,9.63,28.66,16.11,28.82,39.63,32.11,37,9.11,30.4,70.3
52,excellent,2.34494,12.52,9.71,28.23,16.31,31.26,40.38,34.25,38.83,9.15,30.4,70.3
53,excellent,2.34494,12.47,9.37,28.96,16.11,29.66,40.13,37.13,41.05,9.04,30.4,70.8
54,excellent,2.34494,12.28,9.23,28.23,16.17,27.26,39.63,32.11,38.83,8.76,30.4,70.9
55,excellent,2.34494,12.47,9.26,29.11,16.31,32.6,41.96,33.58,42.38,8.97,30.4,71.1
56,excellent,2.34494,12.32,9.23,28.81,16.31,30.35,42.52,36.62,41.58,8.97,30.4,71.2
57,excellent,2.34494,12.23,9.09,28.23,16.17,29.83,42.24,45.35,39.79,8.86,30.4,71.3
58,excellent,2.34494,12.42,9.01,28.81,16.31,30.35,39.87,50.06,42.11,9.18,30.5,71.7
59,excellent,2.34494,12.04,8.8,27.67,16.04,28.18,41.96,32.73,37.22,9.22,30.5,71.7
60,excellent,2.34494,12.18,8.8,28.66,16.24,30.71,42.24,35.64,41.58,9.26,30.5,71.8
61,excellent,2.48308,12.04,8.6,28.23,15.91,30,40.38,44.99,41.32,9.04,30.5,71.8
62,excellent,2.48308,12.13,8.6,28.81,16.24,28.34,43.65,32.11,40.8,8.8,30.5,72
63,excellent,2.48308,12.08,8.53,30.99,16.24,33,45.15,34.93,40.8,8.76,30.5,72.1
64,excellent,2.48308,11.89,8.37,27.95,16.04,30.71,42.8,32.94,40.8,8.83,30.5,72.1
65,excellent,2.48308,11.85,8.23,28.23,15.78,30,38.41,32.11,39.3,8.56,30.6,72.2
66,excellent,2.48308,12.04,9.09,28.52,16.17,30.89,44.54,33.15,42.11,8.86,30.6,71.4
67,excellent,2.48308,12.04,8.23,27.81,16.31,30.89,43.36,34.25,41.32,9.22,30.6,72
68,excellent,2.48308,11.8,8.23,28.37,16.24,32.4,44.24,30.18,41.84,8.56,30.6,72.2
69,excellent,2.48308,11.53,7.95,26.72,15.84,29.83,39.87,33.8,40.29,8.8,30.6,72.3
70,excellent,2.48308,11.53,7.88,26.59,15.91,29.15,41.16,39.57,41.84,8.8,30.6,72.4
71,excellent,2.48308,11.57,7.58,26.98,15.97,31.26,41.96,29.64,41.84,8.69,30.6,72.5
72,excellent,2.48308,11.62,7.85,27.81,16.11,29.15,42.52,54.67,41.84,8.86,30.6,72.7
73,excellent,2.48308,11.21,7.61,26.46,15.71,29.15,40.13,44.64,38.12,8.59,30.6,72.7
74,excellent,2.48308,11.48,7.76,27.39,16.31,30,41.96,52.74,40.54,8.83,30.6,72.8
75,excellent,2.48308,11.26,7.49,26.72,15.71,30,42.8,33.58,39.06,8.59,30.6,72.9
76,excellent,2.48308,11.21,7.43,25.82,15.78,29.15,41.16,33.15,41.84,8.56,30.7,72.9
77,excellent,2.48308,11.04,7.34,25.82,15.71,29.32,40.38,39.29,41.05,8.46,30.7,73.1
78,excellent,2.48308,11.21,7.25,26.2,15.91,30.53,42.8,50.06,45.26,8.49,30.7,73.1
79,excellent,2.48308,11,7.25,26.2,15.58,29.32,41.16,33.36,37.9,8.46,30.7,73.1
80,excellent,2.48308,11.35,7.28,26.72,16.04,29.83,43.36,50.92,40.54,8.62,30.7,73
81,excellent,2.48308,11.13,7.25,26.59,16.04,31.26,42.8,57.27,40.54,8.49,30.7,73.1
82,excellent,2.48308,11.04,7.11,25.69,15.91,29.49,43.08,34.25,39.55,8.62,30.7,73.2
83,excellent,2.48308,10.91,7.05,25.57,15.65,29.15,41.69,46.08,39.79,8.52,30.7,73.3
84,excellent,2.48308,10.91,7.08,25.2,15.84,29.49,41.16,46.45,43.22,8.56,30.7,73.3
85,excellent,2.48308,11,7.08,25.69,15.91,30,42.52,46.08,37.9,8.42,30.8,73.4
86,excellent,2.48308,10.78,6.97,24.84,15.91,29.49,42.52,35.16,38.83,8.36,30.8,73.3
87,excellent,2.48308,10.7,6.94,25.32,15.65,29.49,40.64,43.27,38.36,8.39,30.8,73.2
88,excellent,2.48308,11,6.91,25.57,16.24,30.89,43.94,46.45,42.38,8.36,30.8,73.1
89,excellent,2.48308,10.87,6.83,25.69,15.97,31.07,43.36,48,41.32,8.36,30.8,73.1
90,excellent,2.48308,10.66,6.77,24.96,15.97,30.18,43.65,44.64,41.84,8.23,30.8,73.4
91,excellent,2.48308,10.53,6.66,23.69,15.71,29.32,40.64,50.06,40.8,8.16,30.8,73.4
92,excellent,2.48308,10.53,6.63,24.49,15.58,29.83,41.16,39.01,39.79,8.29,30.8,73.3
93,excellent,2.48308,10.41,6.58,23.8,15.52,29.15,40.38,33.58,39.55,8.26,30.8,73.3
94,excellent,2.48308,10.7,6.58,24.84,15.97,29.66,43.36,47.21,41.84,8.32,30.8,73.1
95,excellent,2.48308,10.62,6.5,24.26,15.78,30.35,42.52,40.74,39.06,8.36,30.8,73.3
96,excellent,2.48308,10.49,6.53,23.69,15.65,28.66,41.96,33.15,39.06,8.32,30.8,73.3
97,excellent,2.48308,10.29,6.42,23.47,15.65,29.15,41.69,37.92,40.8,8.16,30.8,73.3
98,excellent,2.48308,10.45,6.39,24.03,15.58,30,42.24,30.55,40.54,8.1,30.9,73.6
99,excellent,2.48308,10.41,6.37,23.47,15.78,26.67,42.24,49.63,39.3,8.32,30.9,72.2
100,excellent,2.48308,10.41,6.32,23.8,15.65,28.66,42.52,33.36,40.04,8.29,30.9,72.9
101,excellent,2.48308,10.37,6.32,23.36,15.71,29.49,42.24,51.82,40.04,8.19,30.9,72.9
102,excellent,2.48308,10.37,6.26,23.47,15.58,29.83,42.52,34.25,37.9,8.23,30.9,73.1
103,excellent,2.48308,10.21,6.26,23.8,15.52,28.66,39.87,46.45,39.79,8.16,30.9,73.2
104,excellent,2.48308,10.17,6.14,22.41,15.58,27.87,41.16,38.46,38.12,8.19,30.9,73.2
105,excellent,2.48308,10.25,6.06,22.51,15.52,28.99,41.96,34.47,38.36,7.91,31,73
106,excellent,2.48308,10.37,6.14,23.04,15.97,29.66,43.36,33.58,41.84,8.32,30.9,72.5
107,excellent,2.48308,10.21,6.09,23.14,15.78,28.34,42.8,36.62,41.32,8.13,31,72.7
108,excellent,2.48308,10.17,5.96,22.51,15.45,28.66,41.16,37.13,38.59,8.29,31,72.6
109,excellent,2.48308,10.17,5.91,22.41,15.52,32.4,39.13,51.82,40.54,7.91,31,72.6
110,excellent,2.48308,10.25,5.96,22.51,15.91,29.15,43.36,51.82,40.54,8.19,31,72.4
111,excellent,2.48308,10.01,5.86,22,15.52,25.82,41.69,48.4,38.36,8.19,31,72.6
112,excellent,2.48308,10.17,6.77,22.2,15.91,28.99,43.36,34.25,45.26,8.19,31,72.6
